SATZART;AGS;LAND;RB;KREIS;BEV;ERWERBST;ERWERBSL;NERWERB;ERW18;ERW18_29;ERW30_49;ERW50_64;ERW65;ERWOAUS;ERWBERUF;ERWHOCH
40;05113;Nordrhein-Westfalen;Düsseldorf;Essen, Stadt;563160;254380;19670;289110;1430;49720;123060;70390;9780;55120;144810;54450
40;05114;Nordrhein-Westfalen;Düsseldorf;Krefeld, Stadt;221140;102840;7640;110650;/;18000;49060;30610;4000;22940;59940;19970
40;05116;Nordrhein-Westfalen;Düsseldorf;Mönchengladbach, Stadt;253720;116690;9790;127250;/;22170;53190;35450;4650;25350;73050;18280
40;05117;Nordrhein-Westfalen;Düsseldorf;Mülheim an der Ruhr, Stadt;166290;77800;4210;84290;/;14120;36660;23950;2530;16990;44610;16200
40;05119;Nordrhein-Westfalen;Düsseldorf;Oberhausen, Stadt;209220;90240;6800;112180;/;16840;44340;25000;3140;17430;61820;10990
40;05120;Nordrhein-Westfalen;Düsseldorf;Remscheid, Stadt;109550;52050;3750;53750;/;9660;24750;15290;1780;12910;32740;6400
40;05122;Nordrhein-Westfalen;Düsseldorf;Solingen, Stadt;154300;73930;4470;75890;/;14200;34190;21990;2760;18560;42460;12920
40;05124;Nordrhein-Westfalen;Düsseldorf;Wuppertal, Stadt;340960;157860;11340;171760;/;30740;76690;44040;5240;39280;90020;28570
40;05154;Nordrhein-Westfalen;Düsseldorf;Kleve;297510;153580;6230;137710;2270;29470;72410;43790;5630;31010;102550;20020
40;05158;Nordrhein-Westfalen;Düsseldorf;Mettmann;475280;234110;12280;228890;2530;39280;111970;70800;9540;47400;141190;45530
40;05162;Nordrhein-Westfalen;Düsseldorf;Rhein-Kreis Neuss;435790;213100;10380;212310;1710;38370;104360;61520;7140;42190;127980;42920
40;05166;Nordrhein-Westfalen;Düsseldorf;Viersen;293960;146430;7120;140410;1510;24750;72280;43000;4880;28970;94230;23230
40;05170;Nordrhein-Westfalen;Düsseldorf;Wesel;457960;221190;12290;224490;1940;40480;103740;67060;7960;43080;146110;32010
20;053;Nordrhein-Westfalen;Köln;Gesamt;4262300;2097460;119140;2045710;18410;407560;1035090;569520;66880;450360;1154180;492910
