,mtknr,avg
1470,6998,24.0
1471,7009,41.0
1472,7020,42.0
1473,7022,24.0
1474,7024,50.0
1475,7039,50.0
1476,7041,16.0
1477,7051,50.0
1478,7076,27.0
1479,7082,50.0
1480,7095,27.0
1481,7097,50.0
1482,7100,35.0
1483,7102,14.0
1484,7106,39.0
1485,7122,20.0
1486,7148,41.0
1487,7159,28.0
1488,7189,40.0
1489,7212,26.0
1490,7259,29.0
1491,7262,32.0
1492,7266,30.0
1493,7276,49.0
1494,7282,
1495,7283,48.0
1496,7284,
1497,7289,31.0
1498,7308,
1499,7310,50.0
1500,7315,43.0
1501,7327,45.0
1502,7332,16.0
1503,7339,25.0
1504,7345,
1505,7351,50.0
1506,7352,18.0
1507,7354,50.0
1508,7357,17.0
1509,7367,22.0
1510,7368,32.0
1511,7375,50.0
1512,7389,
1513,7397,50.0
1514,7406,50.0
1515,7407,31.0
1516,7415,50.0
1517,7419,20.0
1518,7427,25.0
1519,7434,50.0
1520,7435,50.0
1521,7459,50.0
1522,7467,26.0
1523,7473,50.0
1524,7480,50.0
1525,7483,21.0
